highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,total_clicks,days_active,avg_daily_clicks,avg_score,total_score,submission_count,min_score,max_score,withdrew_early
2,0,0,0,60,53.0,3.0,1.7096774193548387,0.0,0.0,0.0,0.0,0.0,0
0,3,0,0,90,73.0,7.0,1.7380952380952381,0.0,0.0,0.0,0.0,0.0,1
2,9,1,0,30,763.0,41.0,3.8535353535353534,79.77777777777777,718.0,9.0,54.0,100.0,0
0,8,0,0,120,1761.0,44.0,4.696,78.45454545454545,863.0,11.0,65.0,90.0,1
0,0,0,0,60,1935.0,70.0,4.766009852216749,71.07692307692308,924.0,13.0,44.0,95.0,1
2,6,1,0,30,599.0,34.0,4.102739726027397,82.85714285714286,580.0,7.0,65.0,100.0,0
2,1,0,0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,3,0,0,60,809.0,74.0,2.151595744680851,86.14285714285714,603.0,7.0,73.0,91.0,0
2,10,0,0,60,5530.0,174.0,5.148975791433892,82.75,993.0,12.0,64.0,95.0,0
2,4,0,0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,7,1,0,120,1683.0,90.0,3.455852156057495,88.0,352.0,4.0,75.0,95.0,0
2,1,0,4,120,442.0,14.0,4.510204081632653,91.0,182.0,2.0,82.0,100.0,0
0,6,0,0,60,1674.0,48.0,4.662952646239554,80.0,880.0,11.0,58.0,95.0,0
0,5,0,0,60,5671.0,162.0,3.9327323162274617,90.57142857142857,1902.0,21.0,78.0,100.0,0
0,4,0,0,60,1116.0,25.0,5.004484304932736,64.41666666666667,773.0,12.0,46.0,90.0,0
2,2,0,0,60,44.0,4.0,2.0952380952380953,11.5,23.0,2.0,6.0,17.0,0
2,5,1,0,60,1445.0,83.0,4.176300578034682,72.6,363.0,5.0,61.0,80.0,0
2,8,0,0,60,45.0,2.0,1.875,100.0,100.0,1.0,100.0,100.0,1
4,10,0,0,90,1452.0,86.0,1.8520408163265305,91.4375,1463.0,16.0,84.0,100.0,0
0,3,1,0,30,527.0,22.0,2.9943181818181817,0.0,0.0,0.0,0.0,0.0,1
2,4,0,0,30,1235.0,66.0,4.8431372549019605,77.88888888888889,701.0,9.0,40.0,100.0,0
0,1,0,0,60,972.0,82.0,2.685082872928177,71.22222222222223,641.0,9.0,50.0,96.0,0
2,9,1,0,60,735.0,31.0,4.1525423728813555,66.0,66.0,1.0,66.0,66.0,1
4,5,0,0,90,7014.0,146.0,4.456162642947904,86.63636363636364,953.0,11.0,80.0,96.0,1
2,8,1,0,60,4168.0,173.0,4.305785123966942,75.5,755.0,10.0,44.0,95.0,0
0,6,1,0,120,366.0,44.0,1.9162303664921465,63.7,637.0,10.0,43.0,80.0,0
0,3,0,0,60,142.0,17.0,2.088235294117647,70.5,282.0,4.0,60.0,100.0,1
2,3,0,0,60,28.0,3.0,2.1538461538461537,0.0,0.0,0.0,0.0,0.0,1
2,6,0,0,60,392.0,21.0,3.161290322580645,82.33333333333333,247.0,3.0,71.0,100.0,1
2,3,1,0,60,167.0,22.0,2.5303030303030303,49.333333333333336,148.0,3.0,30.0,68.0,0
0,1,0,0,60,412.0,28.0,2.07035175879397,53.0,53.0,1.0,53.0,53.0,1
2,9,0,0,60,5566.0,154.0,4.925663716814159,85.5,1026.0,12.0,74.0,100.0,0
0,3,1,0,60,1156.0,78.0,3.284090909090909,85.0,425.0,5.0,70.0,100.0,0
2,9,0,0,120,711.0,44.0,3.418269230769231,79.0,79.0,1.0,79.0,79.0,0
2,4,0,0,60,812.0,54.0,2.9527272727272726,81.0909090909091,892.0,11.0,62.0,100.0,0
2,9,0,0,60,3280.0,116.0,4.385026737967914,73.25,879.0,12.0,54.0,87.0,0
2,4,0,0,90,680.0,56.0,2.9184549356223175,68.88888888888889,620.0,9.0,44.0,89.0,0
2,0,0,1,60,48.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1
0,7,1,0,90,591.0,36.0,3.966442953020134,87.5,175.0,2.0,86.0,89.0,1
0,4,1,0,60,1842.0,122.0,2.3984375,75.71428571428571,530.0,7.0,60.0,100.0,0
0,2,1,0,120,20.0,2.0,1.8181818181818181,0.0,0.0,0.0,0.0,0.0,1
1,0,0,1,120,123.0,10.0,2.3207547169811322,71.66666666666667,215.0,3.0,40.0,100.0,0
0,9,1,0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,5,0,0,30,1818.0,65.0,4.1506849315068495,75.0,300.0,4.0,56.0,87.0,0
1,3,0,0,205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,9,0,0,60,2488.0,68.0,4.766283524904215,70.16666666666667,842.0,12.0,58.0,94.0,0
2,9,0,0,60,765.0,34.0,3.1742738589211617,71.0,71.0,1.0,71.0,71.0,1
2,0,0,0,180,677.0,52.0,3.008888888888889,66.4,332.0,5.0,58.0,74.0,0
2,2,0,0,30,168.0,12.0,3.0,81.66666666666667,245.0,3.0,70.0,100.0,0
0,8,0,0,60,4177.0,142.0,3.9894937917860553,92.25,1107.0,12.0,86.0,98.0,0
2,10,1,1,315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,4,1,0,60,3794.0,150.0,2.8292319164802384,82.77272727272727,1821.0,22.0,42.0,100.0,0
