highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,total_clicks,days_active,avg_daily_clicks,avg_score,total_score,submission_count,min_score,max_score,withdrew_early,dropout
1,9,2,0,240,934.0,40.0,4.76530612244898,82.0,410.0,5.0,78.0,85.0,0,0
1,2,1,0,60,1435.0,80.0,3.3372093023255816,66.4,332.0,5.0,60.0,70.0,0,0
0,3,1,0,60,281.0,12.0,3.6973684210526314,0.0,0.0,0.0,0.0,0.0,1,1
0,5,1,0,60,2158.0,123.0,3.2549019607843137,76.0,380.0,5.0,71.0,88.0,0,0
2,5,0,0,60,1034.0,70.0,2.9375,54.4,272.0,5.0,30.0,75.0,0,0
0,8,1,0,60,2445.0,143.0,3.3817427385892116,68.0,340.0,5.0,50.0,79.0,0,0
1,3,0,0,60,1492.0,90.0,4.20281690140845,68.0,340.0,5.0,62.0,75.0,0,0
0,9,0,0,120,1428.0,105.0,2.689265536723164,72.4,362.0,5.0,72.0,73.0,0,0
0,7,0,0,90,1894.0,122.0,3.193929173693086,71.4,357.0,5.0,68.0,75.0,0,0
4,10,2,0,60,3158.0,142.0,3.493362831858407,78.0,390.0,5.0,71.0,81.0,0,0
2,7,1,0,60,1319.0,90.0,3.272952853598015,74.0,370.0,5.0,68.0,80.0,0,0
0,2,0,0,60,1732.0,120.0,3.2927756653992395,73.2,366.0,5.0,68.0,78.0,0,0
2,6,1,0,60,1102.0,61.0,3.1942028985507247,78.6,393.0,5.0,67.0,89.0,0,0
1,5,0,0,60,3388.0,148.0,3.45361875637105,76.0,380.0,5.0,70.0,85.0,0,0
2,4,1,0,60,2737.0,175.0,3.6013157894736842,71.6,358.0,5.0,42.0,83.0,0,0
0,7,0,0,60,176.0,13.0,3.142857142857143,67.0,268.0,4.0,66.0,68.0,1,1
0,6,1,0,60,1053.0,46.0,5.136585365853659,55.6,278.0,5.0,38.0,61.0,0,0
1,10,1,0,60,2327.0,135.0,3.1964285714285716,80.4,402.0,5.0,75.0,86.0,0,0
0,1,1,0,150,116.0,14.0,1.6111111111111112,48.5,194.0,4.0,18.0,67.0,0,1
0,3,1,0,60,2992.0,122.0,3.9681697612732094,66.0,330.0,5.0,65.0,67.0,0,0
0,3,0,0,60,680.0,86.0,2.5092250922509227,70.4,352.0,5.0,64.0,76.0,0,0
1,0,0,0,60,1494.0,125.0,3.0120967741935485,70.8,354.0,5.0,57.0,75.0,0,0
2,7,1,0,60,1240.0,93.0,2.973621103117506,65.33333333333333,392.0,6.0,55.0,74.0,1,1
2,7,1,0,60,2839.0,91.0,7.3549222797927465,60.6,303.0,5.0,59.0,62.0,0,0
0,2,0,0,60,744.0,52.0,3.0617283950617282,68.4,342.0,5.0,63.0,74.0,0,0
2,8,1,0,60,4104.0,144.0,4.495071193866375,72.6,363.0,5.0,64.0,84.0,0,0
0,3,0,0,60,1944.0,177.0,2.4891165172855314,78.0,390.0,5.0,60.0,86.0,0,0
1,6,0,0,60,1150.0,58.0,3.6741214057507987,76.6,383.0,5.0,70.0,83.0,0,0
4,10,1,0,60,4777.0,161.0,4.815524193548387,79.6,398.0,5.0,77.0,85.0,0,0
1,8,1,0,60,465.0,33.0,3.206896551724138,60.0,180.0,3.0,47.0,67.0,1,1
2,2,0,0,60,733.0,47.0,3.316742081447964,53.4,267.0,5.0,38.0,65.0,0,0
1,8,1,0,60,998.0,70.0,2.9096209912536444,63.4,317.0,5.0,53.0,69.0,0,0
1,9,1,0,60,2343.0,136.0,3.9779286926994906,81.0,243.0,3.0,80.0,83.0,0,0
2,6,1,0,60,3553.0,195.0,3.5494505494505493,77.6,388.0,5.0,75.0,81.0,0,0
4,10,1,0,60,757.0,50.0,3.277056277056277,71.8,359.0,5.0,66.0,76.0,0,0
1,6,1,0,60,1358.0,120.0,2.6627450980392156,72.8,364.0,5.0,54.0,80.0,0,0
1,0,0,0,60,1886.0,108.0,3.669260700389105,62.4,312.0,5.0,50.0,76.0,0,0
0,7,1,0,60,1108.0,98.0,3.562700964630225,74.2,371.0,5.0,72.0,78.0,0,0
1,3,0,0,120,284.0,27.0,2.5585585585585586,61.8,309.0,5.0,45.0,73.0,0,0
0,4,1,0,60,2041.0,127.0,3.401666666666667,71.4,357.0,5.0,68.0,75.0,0,0
0,4,0,0,180,1321.0,89.0,3.0022727272727274,69.6,348.0,5.0,66.0,75.0,0,0
0,5,0,0,60,1888.0,110.0,3.515828677839851,81.0,486.0,6.0,76.0,85.0,1,1
2,8,1,0,120,520.0,32.0,3.4210526315789473,67.4,337.0,5.0,62.0,75.0,0,0
0,9,1,0,60,2732.0,138.0,4.801405975395431,84.4,422.0,5.0,81.0,87.0,0,0
2,2,0,0,180,73.0,14.0,2.1470588235294117,0.0,0.0,0.0,0.0,0.0,1,1
2,9,1,0,60,610.0,43.0,3.01980198019802,53.142857142857146,372.0,7.0,43.0,72.0,1,1
0,4,1,0,60,5528.0,192.0,3.923349893541519,80.2,401.0,5.0,72.0,87.0,0,0
0,3,0,0,240,1823.0,92.0,3.1162393162393163,72.6,363.0,5.0,70.0,77.0,0,0
0,9,0,0,345,756.0,41.0,3.024,48.833333333333336,293.0,6.0,39.0,65.0,1,1
0,5,1,0,60,2121.0,95.0,3.3613312202852614,73.6,368.0,5.0,65.0,82.0,0,0
1,8,1,0,60,5645.0,200.0,3.484567901234568,68.8,344.0,5.0,61.0,79.0,0,0
1,6,0,0,120,452.0,35.0,3.033557046979866,54.4,272.0,5.0,37.0,75.0,0,0
0,2,0,0,60,597.0,32.0,3.109375,50.0,250.0,5.0,40.0,62.0,0,1
2,6,0,0,120,1718.0,127.0,2.911864406779661,68.66666666666667,618.0,9.0,32.0,82.0,0,1
2,8,0,0,90,155.0,9.0,3.7804878048780486,52.0,52.0,1.0,52.0,52.0,1,1
0,3,1,0,60,3812.0,198.0,2.99685534591195,79.5,636.0,8.0,68.0,90.0,1,1
0,8,0,0,150,270.0,20.0,3.033707865168539,50.0,250.0,5.0,45.0,54.0,0,0
0,0,1,0,420,1529.0,81.0,3.649164677804296,67.0,335.0,5.0,61.0,75.0,0,0
0,2,1,0,60,4003.0,202.0,4.156801661474558,79.8,399.0,5.0,78.0,82.0,0,0
2,7,0,0,60,2645.0,134.0,3.2816377171215882,78.14285714285714,547.0,7.0,67.0,85.0,1,1
0,9,0,0,60,1405.0,87.0,3.639896373056995,70.6,353.0,5.0,59.0,81.0,0,0
0,4,1,0,60,2062.0,124.0,3.182098765432099,68.2,341.0,5.0,65.0,75.0,1,1
0,7,0,0,60,466.0,51.0,1.9497907949790796,71.8,359.0,5.0,58.0,82.0,0,0
0,4,1,0,60,1510.0,99.0,2.9320388349514563,69.4,347.0,5.0,58.0,82.0,0,0
2,1,1,0,60,745.0,42.0,2.466887417218543,66.4,332.0,5.0,54.0,79.0,0,0
1,10,1,0,60,1939.0,135.0,2.781922525107604,69.6,348.0,5.0,60.0,75.0,0,0
0,10,1,0,60,1782.0,86.0,4.293975903614458,61.4,307.0,5.0,54.0,67.0,0,0
1,9,2,0,60,6318.0,249.0,3.8454047474132684,80.4,402.0,5.0,77.0,83.0,0,0
1,10,1,0,60,4447.0,197.0,3.3920671243325704,82.4,412.0,5.0,74.0,93.0,0,0
1,7,1,0,60,2016.0,97.0,4.613272311212815,78.2,391.0,5.0,73.0,82.0,0,0
0,8,0,0,180,138.0,17.0,2.76,37.6,188.0,5.0,28.0,51.0,0,1
0,3,0,0,120,2012.0,157.0,2.344988344988345,53.4,267.0,5.0,44.0,61.0,0,0
0,8,1,0,120,487.0,20.0,3.3586206896551722,76.0,76.0,1.0,76.0,76.0,1,1
0,6,0,0,60,1975.0,116.0,3.610603290676417,54.0,270.0,5.0,51.0,57.0,0,0
0,1,0,0,180,964.0,58.0,2.619565217391304,49.0,245.0,5.0,33.0,67.0,0,0
1,8,1,0,170,1312.0,147.0,2.750524109014675,59.8,299.0,5.0,53.0,65.0,0,0
1,1,0,0,120,427.0,15.0,4.313131313131313,74.0,74.0,1.0,74.0,74.0,0,1
1,3,1,0,60,2136.0,109.0,3.651282051282051,76.0,380.0,5.0,55.0,85.0,0,0
0,5,1,0,60,8562.0,231.0,4.454734651404786,89.2,446.0,5.0,88.0,90.0,0,0
0,7,1,0,120,4497.0,167.0,3.0160965794768613,71.66666666666667,430.0,6.0,63.0,79.0,1,1
0,9,0,0,120,1541.0,84.0,3.486425339366516,79.4,397.0,5.0,70.0,85.0,0,0
2,9,0,0,60,3219.0,176.0,4.003731343283582,68.4,342.0,5.0,58.0,75.0,0,0
0,9,0,0,60,1905.0,58.0,5.411931818181818,50.0,50.0,1.0,50.0,50.0,1,1
2,5,1,0,60,534.0,81.0,1.9071428571428573,54.4,272.0,5.0,33.0,69.0,0,0
0,3,0,0,60,1418.0,47.0,4.774410774410774,66.66666666666667,200.0,3.0,62.0,70.0,1,1
1,8,1,0,60,1665.0,126.0,2.9573712255772646,72.2,361.0,5.0,59.0,87.0,0,0
0,4,0,0,90,333.0,32.0,2.8461538461538463,56.666666666666664,170.0,3.0,40.0,67.0,0,1
0,1,1,0,60,2953.0,162.0,3.6592317224287485,83.6,418.0,5.0,83.0,84.0,0,0
1,10,0,0,180,1205.0,69.0,3.1136950904392764,62.6,313.0,5.0,54.0,67.0,0,1
1,6,0,0,60,227.0,37.0,1.6691176470588236,72.4,362.0,5.0,58.0,82.0,0,0
2,5,0,0,60,445.0,38.0,2.680722891566265,61.8,309.0,5.0,45.0,71.0,0,0
0,2,0,0,60,614.0,50.0,3.766871165644172,66.0,330.0,5.0,55.0,73.0,0,0
0,5,0,0,60,1215.0,123.0,3.481375358166189,78.0,390.0,5.0,75.0,82.0,0,0
0,4,0,0,240,1839.0,86.0,4.227586206896552,67.75,271.0,4.0,62.0,80.0,0,0
0,9,0,0,240,1257.0,136.0,2.1975524475524475,57.833333333333336,347.0,6.0,30.0,69.0,1,1
4,9,0,0,60,732.0,41.0,3.4857142857142858,78.0,390.0,5.0,60.0,85.0,0,0
1,9,2,0,60,1935.0,162.0,2.6043068640646028,79.2,396.0,5.0,68.0,86.0,0,0
1,8,0,0,80,321.0,26.0,3.0,75.8,379.0,5.0,66.0,82.0,0,0
0,9,0,0,120,427.0,44.0,2.235602094240838,58.4,292.0,5.0,54.0,74.0,0,0
1,9,1,0,60,1892.0,135.0,3.3019197207678883,78.8,394.0,5.0,66.0,85.0,0,0
1,6,1,0,60,1829.0,117.0,2.917065390749601,58.6,293.0,5.0,51.0,64.0,0,1
1,2,1,0,60,658.0,56.0,2.5019011406844105,77.4,387.0,5.0,66.0,85.0,0,0
0,9,1,0,60,1174.0,68.0,3.3447293447293447,55.6,278.0,5.0,52.0,60.0,0,0
2,2,0,0,90,1969.0,193.0,2.6183510638297873,78.4,392.0,5.0,74.0,82.0,0,0
2,2,1,0,60,2580.0,166.0,3.165644171779141,71.4,357.0,5.0,54.0,84.0,0,0
1,1,0,0,120,1481.0,139.0,2.859073359073359,76.8,384.0,5.0,71.0,80.0,0,0
2,3,0,0,60,844.0,53.0,2.822742474916388,58.8,294.0,5.0,54.0,64.0,0,0
2,7,1,0,60,4963.0,204.0,3.6226277372262774,64.8,324.0,5.0,54.0,75.0,0,0
0,8,1,0,60,426.0,43.0,3.1791044776119404,57.5,115.0,2.0,55.0,60.0,1,1
0,2,1,0,60,1066.0,69.0,3.0898550724637683,71.0,355.0,5.0,60.0,79.0,0,0
0,3,1,0,60,2407.0,119.0,3.3570432357043236,76.6,383.0,5.0,72.0,81.0,0,0
0,1,1,0,90,3210.0,116.0,4.483240223463687,74.6,373.0,5.0,64.0,83.0,0,1
0,3,0,0,180,191.0,18.0,3.4107142857142856,43.0,86.0,2.0,35.0,51.0,1,1
0,8,1,0,60,3348.0,128.0,5.23943661971831,76.4,382.0,5.0,62.0,85.0,0,0
0,6,0,0,60,2028.0,82.0,4.251572327044025,67.66666666666667,406.0,6.0,65.0,70.0,1,1
2,4,0,0,60,1183.0,63.0,3.983164983164983,79.2,396.0,5.0,73.0,83.0,0,0
0,3,0,0,150,492.0,49.0,2.6885245901639343,73.4,367.0,5.0,70.0,77.0,0,0
2,7,1,0,60,130.0,15.0,1.6883116883116882,55.4,277.0,5.0,40.0,65.0,0,1
1,3,0,0,60,59.0,8.0,2.107142857142857,0.0,0.0,0.0,0.0,0.0,0,1
0,3,1,0,60,1961.0,87.0,4.102510460251046,60.6,303.0,5.0,43.0,74.0,0,0
0,9,1,0,60,1046.0,68.0,3.683098591549296,71.0,355.0,5.0,55.0,80.0,0,0
0,9,0,0,120,483.0,47.0,3.3541666666666665,67.8,339.0,5.0,60.0,70.0,0,0
0,2,0,0,60,1740.0,108.0,3.5080645161290325,70.4,352.0,5.0,58.0,78.0,0,0
0,3,0,0,60,652.0,33.0,4.261437908496732,75.0,375.0,5.0,70.0,80.0,0,0
0,9,1,0,60,5231.0,229.0,2.78392762107504,83.6,418.0,5.0,78.0,86.0,0,0
0,9,1,0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
0,7,0,0,120,187.0,28.0,1.6403508771929824,46.75,187.0,4.0,38.0,55.0,0,0
1,9,2,0,60,1775.0,119.0,4.052511415525114,78.2,391.0,5.0,72.0,82.0,0,0
0,9,0,0,60,865.0,94.0,3.37890625,52.8,264.0,5.0,43.0,61.0,0,0
0,4,1,0,240,3099.0,166.0,3.0683168316831684,71.0,1207.0,17.0,38.0,94.0,0,1
4,9,2,0,60,2152.0,124.0,4.211350293542075,86.8,434.0,5.0,66.0,95.0,0,0
1,8,0,0,60,514.0,58.0,2.557213930348259,80.8,404.0,5.0,70.0,87.0,0,0
0,3,1,0,60,1997.0,108.0,3.443103448275862,78.8,394.0,5.0,76.0,82.0,0,0
0,4,0,0,60,513.0,24.0,3.109090909090909,58.666666666666664,176.0,3.0,58.0,59.0,0,1
0,7,0,0,60,146.0,11.0,3.3181818181818183,64.0,64.0,1.0,64.0,64.0,0,1
0,7,0,0,120,1277.0,85.0,3.470108695652174,78.0,390.0,5.0,75.0,83.0,0,0
2,8,0,0,120,68.0,6.0,2.6153846153846154,0.0,0.0,0.0,0.0,0.0,1,1
0,5,1,0,120,987.0,81.0,3.0652173913043477,58.2,291.0,5.0,40.0,73.0,0,0
0,9,1,0,60,1220.0,110.0,3.2275132275132274,82.0,410.0,5.0,76.0,88.0,0,0
0,1,0,0,60,2742.0,189.0,2.4658273381294964,62.6,313.0,5.0,39.0,74.0,0,0
1,1,0,0,60,1081.0,87.0,2.6957605985037407,81.2,406.0,5.0,76.0,83.0,0,0
0,7,0,0,60,1476.0,76.0,3.9151193633952253,60.0,240.0,4.0,47.0,73.0,0,0
0,6,2,0,120,2230.0,145.0,3.204022988505747,59.2,296.0,5.0,46.0,67.0,0,0
4,9,2,0,60,12882.0,271.0,7.02016348773842,87.8,439.0,5.0,85.0,90.0,0,0
0,9,0,0,60,281.0,46.0,2.650943396226415,61.8,309.0,5.0,50.0,89.0,0,0
1,8,0,0,120,1281.0,106.0,2.784782608695652,66.6,333.0,5.0,62.0,70.0,0,0
0,5,0,0,60,6589.0,232.0,3.4086911536471804,78.4,392.0,5.0,75.0,81.0,0,0
1,9,2,0,60,10083.0,239.0,4.727144866385372,80.4,402.0,5.0,80.0,82.0,0,0
1,4,1,0,60,1901.0,122.0,3.1163934426229507,80.4,402.0,5.0,69.0,85.0,0,0
0,1,1,0,60,1961.0,110.0,3.9696356275303644,57.6,288.0,5.0,35.0,72.0,0,0
0,9,0,0,120,133.0,38.0,1.7972972972972974,61.2,306.0,5.0,38.0,74.0,0,0
1,9,1,0,60,6588.0,201.0,3.836924868957484,84.66666666666667,508.0,6.0,83.0,87.0,1,1
